Num,direction,Mileage,Road_Width,Total_Road_Width,Lane_Count,Total_Lanes,Aux_Lane_Count,Main_Lane_Count,Channelized_Area_Width,Inner_Shoulder_Width,Outer_Shoulder_Width,Curvature_Radius,Longitudinal_Slope,Cross_Slope,speed,tti_sipt,tti_sipt_normalized,Has_Ramp,Total_Lane_Width,Total_Shoulder_Width,Lane_Density,Shoulder_Ratio,Effective_Ratio,Curvature_Severity,Pavement_Type_flexible,Pavement_Type_rigid,Channelized_Area_no,Channelized_Area_yes,Inner_Shoulder_no,Inner_Shoulder_yes,Outer_Shoulder_no,Outer_Shoulder_yes,Aux_Lane1_acceleration_lane,Aux_Lane1_auxiliary_lane,Aux_Lane1_deceleration_lane,Aux_Lane1_no,Aux_Lane2_acceleration_lane,Aux_Lane2_auxiliary_lane,Aux_Lane2_deceleration_lane,Aux_Lane2_no,Aux_Lane3_acceleration_lane,Aux_Lane3_auxiliary_lane,Aux_Lane3_deceleration_lane,Aux_Lane3_no,Pull_Over_Area_no,Pull_Over_Area_yes,count,tti_sipt_adjusted
3,N,53150,19.459,19.459,4,9,3,6,0.0,0.839,3.536,6287.505,-0.012,-0.023,110,11385.95485320513,0.0996325875669586,0,15.084,4.375,0.205560409065214,0.2248316974150778,0.7751683025849221,0.0001590203076883,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,2.6326921699961767
3,N,53200,19.322,19.322,4,9,3,6,0.0,0.913,3.372,5436.166,-0.011,-0.022,110,11345.024493151866,0.0992185370067185,0,15.037,4.285,0.2070179070489597,0.2217679329261981,0.7782320670738019,0.0001839193432755,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,2.623228138229265
3,N,53250,19.313,19.313,4,9,3,6,0.0,0.912,3.311,5254.581,-0.01,-0.022,110,11303.315454497537,0.0987966093520527,0,15.09,4.223,0.2071143789157562,0.2186610055403096,0.7813389944596904,0.0001902739202383,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,2.6135840582290344
3,N,53300,19.532,19.532,4,9,3,6,0.0,0.974,3.502,4607.523,-0.008,-0.02,110,11220.485556334364,0.0979587040491318,0,15.056,4.476,0.2047921359819783,0.2291624001638337,0.7708375998361663,0.0002169892609844,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,2.594431898647585
3,N,53350,19.664,19.664,4,9,3,6,0.0,0.959,3.558,3720.266,-0.008,-0.022,110,11222.658296098116,0.0979806834335122,0,15.147,4.517,0.2034174125305126,0.2297091131000813,0.7702908868999185,0.00026872575086,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,2.594934285582824
3,N,53400,19.069,19.069,4,9,3,6,0.0,0.913,2.932,3349.746,-0.006,-0.02,110,11139.95457278253,0.0971440545123837,0,15.223999999999998,3.845,0.2097645393046305,0.2016361634065761,0.7983638365934238,0.0002984410038839,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,51898.0,2.575811300500797
3,N,53450,19.283,19.283,4,9,3,6,0.0,1.025,3.117,2463.438,-0.004,-0.022,110,11060.511306122213,0.0963404082941437,0,15.141,4.142,0.2074366021884561,0.2148006015661463,0.7851993984338536,0.0004057720259142,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,51898.0,2.557442207280946
3,N,53500,20.651,20.651,5,9,3,6,0.0,0.995,3.856,2552.217,-0.003,-0.024,110,8919.148835110249,0.0746784358696201,0,15.8,4.851,0.2421190257130405,0.2349038787467919,0.7650961212532081,0.0003916627533029,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,51898.0,2.0623104169972444
3,N,53550,21.52,21.521,5,9,3,6,0.0,1.028,3.979,2247.095,-0.002,-0.024,110,8879.406191897504,0.0742764002250217,0,16.514,5.007,0.2323312113749361,0.2326564750708609,0.7673435249291389,0.0004448210596082,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,51898.0,2.053121012423793
3,N,53600,22.29,22.29,5,9,3,6,0.0,1.016,3.927,2378.525,-0.001,-0.03,110,8836.398111411369,0.073841331493719,0,17.347,4.943,0.2243158366980709,0.2217586361597128,0.7782413638402872,0.0004202519410386,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,51898.0,2.043176564355783
3,N,53650,22.672,22.671,5,9,3,6,0.0,1.019,3.466,2026.772,0.0,-0.032,110,8797.485078674217,0.0734476881691919,0,18.186,4.485,0.2205460720744563,0.1978298266507873,0.8021701733492127,0.0004931520900771,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,51898.0,2.034178984625431
3,N,53700,23.271,23.271,5,9,3,6,0.0,0.949,3.442,2277.683,0.001,-0.03,110,8837.179451725193,0.0738492355139684,0,18.88,4.391,0.2148596966181083,0.1886897855700227,0.8113102144299772,0.0004388499848377,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,51898.0,2.043357228037734
3,N,53750,12.348,12.348,3,9,3,6,0.059,0.988,0.0,1226.757,0.0,-0.025,110,14407.774977412464,0.1302012489162515,0,11.36,0.988,0.2429543245869776,0.0800129575639779,0.919987042436022,0.0008144934217438,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,3.3314058292988085
3,N,53800,12.319,12.32,3,9,3,6,0.659,1.018,0.0,479.514,0.003,-0.025,110,14587.024041474995,0.1320145282350999,0,11.302,1.018,0.2435064935064935,0.0826298701298701,0.9173701298701298,0.0020811048169252,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,3.3728522967686603
3,N,53850,12.263,12.262999999999998,3,9,3,6,1.823,0.979,0.0,1508.4,0.004,-0.023,110,14569.28962268181,0.1318351272714315,0,11.284,0.979,0.2446383429829569,0.0798336459267716,0.9201663540732284,0.0006625149065853,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,3.3687516950977248
3,N,53900,15.305,15.306,3,9,3,6,0.0,1.05,2.919,1412.37,0.005,-0.034,110,14613.15758974388,0.1322788945951249,0,11.337,3.969,0.1960015680125441,0.2593100744805958,0.740689925519404,0.0007075288141109,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,3.378894968533018
3,N,53950,15.611,15.612000000000002,3,9,3,6,0.0,0.964,3.208,2269.998,0.003,-0.029,110,14517.977256461189,0.1313160525808291,1,11.44,4.172000000000001,0.1921598770176787,0.2672303356392518,0.7327696643607481,0.0004403350421268,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,3.3568871069701003
3,N,54000,15.664,15.664,3,9,3,6,0.0,0.987,3.327,1648.835,0.001,-0.026,110,14440.991809869323,0.130537269612631,1,11.35,4.314,0.1915219611848825,0.2754085801838611,0.724591419816139,0.0006061212181824,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,3.339086317746963
3,N,54050,15.727,15.727,3,9,3,6,0.0,0.987,3.329,1383.619,0.0,-0.029,110,14403.895774750456,0.1301620069933023,1,11.411,4.316,0.1907547529725949,0.2744325046099065,0.7255674953900935,0.0007222203364246,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,3.3305088692628897
3,N,54100,15.796,15.796,3,9,3,6,0.0,1.019,3.409,1516.995,-0.001,-0.034,110,14443.204321846992,0.1305596513317925,0,11.368,4.428,0.1899214991136996,0.2803241326918207,0.7196758673081792,0.0006587636981676,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,3.339597900924195
3,N,54150,15.631,15.632,3,9,3,6,0.0,0.959,3.241,1511.43,-0.002,-0.034,110,14485.282080183217,0.1309853089460937,0,11.432,4.2,0.1919140225179119,0.2686796315250767,0.7313203684749232,0.0006611876252124,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,51898.0,3.3493272373154763
